iteration, train, test
1, 4.916179656982422, 3.4727141857147217
2, 2.944443702697754, 3.2127833366394043
3, 2.7923526763916016, 3.224181890487671
4, 2.712289810180664, 3.5666353702545166
5, 2.616835355758667, 3.1036558151245117
6, 2.6328020095825195, 3.664813995361328
7, 2.554922580718994, 3.4713830947875977
8, 2.472109079360962, 3.1654319763183594
9, 2.4245240688323975, 3.4443092346191406
10, 2.441779136657715, 3.7639026641845703
11, 2.334810495376587, 3.312340259552002
12, 2.297072172164917, 3.559666633605957
13, 2.2826294898986816, 3.1562907695770264
14, 2.2669167518615723, 2.839477062225342
15, 2.264885663986206, 3.5488321781158447
16, 2.2070648670196533, 3.948080062866211
17, 2.1643319129943848, 3.7450952529907227
18, 2.1398653984069824, 3.393819808959961
19, 2.098479747772217, 3.6055445671081543
20, 2.0764224529266357, 3.373105525970459
21, 2.0489327907562256, 3.577338457107544
22, 2.0418481826782227, 3.2070183753967285
23, 2.012693166732788, 3.4500763416290283
24, 1.9442614316940308, 3.488179922103882
25, 1.9419313669204712, 3.610326051712036
26, 1.931994080543518, 3.5818490982055664
27, 1.8893406391143799, 3.570002794265747
28, 1.875260591506958, 3.6191158294677734
29, 1.8343887329101562, 4.0991740226745605
30, 1.860251545906067, 3.1633667945861816
31, 1.8482286930084229, 3.2731847763061523
32, 1.8093745708465576, 2.875913619995117
33, 1.7950975894927979, 3.133070230484009
34, 1.772923469543457, 3.1276419162750244
35, 1.762155532836914, 3.615617275238037
36, 1.7813719511032104, 2.980996608734131
37, 1.714637041091919, 3.4078361988067627
38, 1.7371975183486938, 3.556563138961792
39, 1.7068029642105103, 3.590484857559204
40, 1.6442906856536865, 3.1815896034240723
41, 1.63582181930542, 3.661128044128418
42, 1.6401489973068237, 3.8403608798980713
43, 1.6534651517868042, 3.5787222385406494
44, 1.6134428977966309, 3.4240102767944336
45, 1.5990898609161377, 3.6377339363098145
46, 1.5840346813201904, 3.412796974182129
47, 1.6117911338806152, 3.2732455730438232
48, 1.5193848609924316, 3.187781572341919
49, 1.5457582473754883, 3.6339519023895264
50, 1.533993124961853, 3.6081125736236572
51, 1.52568519115448, 3.285006523132324
52, 1.5040106773376465, 3.1730599403381348
53, 1.4949913024902344, 3.4017210006713867
54, 1.4729117155075073, 3.098775625228882
55, 1.4739965200424194, 3.1715235710144043
56, 1.429446816444397, 3.2332382202148438
57, 1.448729157447815, 3.4080722332000732
58, 1.4243276119232178, 3.498884916305542
59, 1.4330240488052368, 3.3741276264190674
60, 1.4177205562591553, 3.2602508068084717
