iteration, train, test
1, 9.64233112335205, 3.541125535964966
2, 3.141573905944824, 3.281031847000122
3, 2.8546769618988037, 3.2064051628112793
4, 2.7265777587890625, 3.225227117538452
5, 2.6070218086242676, 3.257138729095459
6, 2.5185914039611816, 2.9878737926483154
7, 2.4435150623321533, 2.9795310497283936
8, 2.4329330921173096, 2.997009038925171
9, 2.3465888500213623, 2.9955523014068604
10, 2.2941672801971436, 3.2418689727783203
11, 2.2893757820129395, 2.951076030731201
12, 2.2435317039489746, 2.9181463718414307
13, 2.223742961883545, 2.887240171432495
14, 2.1559934616088867, 2.9602713584899902
15, 2.130375623703003, 2.940788984298706
16, 2.1007192134857178, 2.8374969959259033
17, 2.0742902755737305, 2.8286964893341064
18, 2.02644681930542, 2.881146192550659
19, 2.038335084915161, 2.943049907684326
20, 1.985889196395874, 2.843691825866699
21, 1.958769679069519, 2.9521560668945312
22, 1.9835364818572998, 2.9808807373046875
23, 1.9307620525360107, 2.952501058578491
24, 1.890689492225647, 3.0854177474975586
25, 1.8739937543869019, 2.8435251712799072
26, 1.9149527549743652, 2.9175374507904053
27, 1.8519024848937988, 2.908170700073242
28, 1.820070743560791, 2.9343395233154297
29, 1.7954689264297485, 3.0872280597686768
30, 1.766013741493225, 2.9174039363861084
31, 1.8338357210159302, 2.95592999458313
32, 1.7438627481460571, 2.8407247066497803
33, 1.749694585800171, 2.9457266330718994
34, 1.6707799434661865, 2.942436695098877
35, 1.6561200618743896, 2.937824249267578
36, 1.676082968711853, 2.993521213531494
37, 1.6438459157943726, 3.0964291095733643
38, 1.683331847190857, 3.007359027862549
39, 1.6507744789123535, 3.126255750656128
40, 1.6052205562591553, 2.970487356185913
41, 1.5809744596481323, 3.0665359497070312
42, 1.572358250617981, 3.0211074352264404
43, 1.552278995513916, 2.9924564361572266
44, 1.5477080345153809, 2.9987399578094482
45, 1.5310256481170654, 3.09417462348938
46, 1.5509015321731567, 3.203047752380371
47, 1.4771641492843628, 3.5136308670043945
48, 1.520194172859192, 3.025529384613037
49, 1.465733289718628, 3.134965419769287
50, 1.4699993133544922, 3.2022624015808105
51, 1.4989614486694336, 3.1170616149902344
52, 1.480089783668518, 3.0717456340789795
53, 1.4294012784957886, 3.004108190536499
54, 1.404056429862976, 3.092057943344116
55, 1.388275384902954, 3.1448802947998047
56, 1.3612923622131348, 3.096175193786621
57, 1.3490935564041138, 3.022888422012329
58, 1.3544061183929443, 3.1006970405578613
59, 1.3728086948394775, 3.079634666442871
60, 1.3206772804260254, 3.3383371829986572
